code,name,trades,win_rate,final_pnl,max_dd,avg_pnl
6289,技研製作所,7,57.1,32388,-2.73,4626
9142,九州旅客鉄道,7,85.7,32318,-0.06,4616
7701,島津製作所,9,66.7,32095,-0.73,3566
9551,メタウォーター,9,66.7,31954,-1.13,3550
6284,日精エー・エス・ビー機械,7,71.4,31832,-1.7,4547
8052,椿本興業,11,72.7,31747,-1.33,2886
6471,日本精工,7,85.7,31387,-0.22,4483
3436,ＳＵＭＣＯ,10,60.0,31320,-2.84,3132
8276,平和堂,12,66.7,31308,-1.16,2609
1833,奥村組,9,66.7,31261,-1.69,3473
4413,ボードルア,7,57.1,31191,-3.25,4455
5195,バンドー化学,7,71.4,31076,-1.58,4439
6013,タクマ,15,66.7,30959,-1.05,2063
4401,ＡＤＥＫＡ,6,83.3,30875,-0.62,5145
9107,川崎汽船,10,60.0,30668,-2.3,3066
8411,みずほフィナンシャルグループ,18,50.0,30532,-3.52,1696
1963,日揮ホールディングス,16,62.5,30287,-4.18,1892
9110,ＮＳユナイテッド海運,12,66.7,30252,-1.15,2521
3480,ジェイ・エス・ビー,7,71.4,30157,-1.18,4308
4186,東京応化工業,10,70.0,30087,-2.3,3008
5074,テスホールディングス,8,75.0,30047,-0.26,3755
8084,ＲＹＯＤＥＮ,11,63.6,30031,-1.56,2730
4617,中国塗料,12,66.7,30028,-2.37,2502
7741,ＨＯＹＡ,12,58.3,29924,-0.93,2493
3921,ネオジャパン,5,80.0,29839,-0.35,5967
4203,住友ベークライト,6,66.7,29698,-0.57,4949
4396,システムサポートホールディングス,6,66.7,29468,-0.63,4911
6146,ディスコ,9,66.7,29424,-3.48,3269
4684,オービック,7,71.4,29415,-0.91,4202
4221,大倉工業,10,60.0,29394,-0.7,2939
2767,円谷フィールズホールディングス,10,60.0,29355,-1.59,2935
3591,ワコールホールディングス,10,60.0,29350,-1.51,2935
5451,ヨドコウ,9,77.8,29100,-0.46,3233
6981,村田製作所,7,71.4,28977,-1.52,4139
7280,ミツバ,6,83.3,28961,-0.31,4826
4362,日本精化,8,62.5,28743,-0.91,3592
6473,ジェイテクト,10,60.0,28696,-0.9,2869
6588,東芝テック,10,50.0,28603,-3.08,2860
6310,井関農機,6,66.7,28523,-1.38,4753
8338,筑波銀行,13,76.9,28448,-0.21,2188
6407,ＣＫＤ,6,50.0,28408,-1.33,4734
4540,ツムラ,9,55.6,28263,-0.93,3140
7504,高速,12,58.3,28242,-1.7,2353
6490,ＰＩＬＬＡＲ,8,50.0,28039,-1.62,3504
3116,トヨタ紡織,6,66.7,28019,-1.36,4669
7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,19,47.4,27961,-4.57,1471
4043,トクヤマ,9,66.7,27871,-0.78,3096
9081,神奈川中央交通,17,58.8,27813,-2.05,1636
2664,カワチ薬品,11,63.6,27775,-0.7,2525
1870,矢作建設工業,10,70.0,27770,-0.88,2777
6653,正興電機製作所,15,53.3,27659,-3.36,1843
1820,西松建設,12,50.0,27621,-1.91,2301
1808,長谷工コーポレーション,11,63.6,27584,-1.55,2507
8001,伊藤忠商事,16,56.2,27528,-1.93,1720
4189,ＫＨネオケム,7,71.4,27459,-1.37,3922
8074,ＹＵＡＳＡ,8,87.5,27322,-0.69,3415
8002,丸紅,13,53.8,27313,-2.1,2101
8395,佐賀銀行,9,66.7,27091,-1.05,3010
6965,浜松ホトニクス,8,62.5,26959,-2.99,3369
1976,明星工業,14,57.1,26925,-1.02,1923
6268,ナブテスコ,7,57.1,26868,-1.21,3838
7419,ノジマ,12,66.7,26730,-0.57,2227
8020,兼松,12,66.7,26688,-1.06,2224
5440,共英製鋼,13,53.8,26654,-0.79,2050
1934,ユアテック,9,66.7,26388,-1.94,2932
8150,三信電気,10,70.0,26337,-1.47,2633
8377,ほくほくフィナンシャルグループ,14,57.1,26288,-1.69,1877
5821,平河ヒューテック,11,54.5,26201,-2.14,2381
8550,栃木銀行,13,61.5,26187,-0.62,2014
4307,野村総合研究所,10,70.0,26066,-1.63,2606
6305,日立建機,13,46.2,26050,-3.01,2003
1926,ライト工業,12,50.0,25907,-2.37,2158
1944,きんでん,14,71.4,25888,-1.94,1849
9021,西日本旅客鉄道,7,71.4,25773,-0.77,3681
8387,四国銀行,12,50.0,25758,-1.3,2146
8715,アニコム　ホールディングス,8,75.0,25742,-0.5,3217
7949,小松ウオール工業,7,71.4,25676,-0.57,3668
9037,ハマキョウレックス,14,57.1,25655,-0.6,1832
3407,旭化成,9,77.8,25630,-0.55,2847
8923,トーセイ,12,58.3,25561,-1.04,2130
5901,東洋製罐グループホールディングス,12,58.3,25537,-1.54,2128
8086,ニプロ,11,63.6,25483,-0.94,2316
5185,フコク,5,80.0,25341,-0.52,5068
6369,トーヨーカネツ,12,66.7,25286,-1.57,2107
9303,住友倉庫,15,66.7,25223,-1.23,1681
9887,松屋フーズホールディングス,8,62.5,25106,-1.31,3138
3064,ＭｏｎｏｔａＲＯ,8,50.0,25095,-1.65,3136
5711,三菱マテリアル,9,55.6,25073,-1.16,2785
5830,いよぎんホールディングス,13,61.5,24975,-1.6,1921
8750,第一ライフグループ,13,61.5,24952,-1.08,1919
2060,フィード・ワン,9,88.9,24872,-0.43,2763
6445,ジャノメ,19,52.6,24809,-1.33,1305
7607,進和,14,57.1,24775,-1.34,1769
9409,テレビ朝日ホールディングス,13,46.2,24765,-1.06,1905
8399,琉球銀行,13,61.5,24728,-1.07,1902
1951,エクシオグループ,11,54.5,24646,-1.64,2240
7735,ＳＣＲＥＥＮホールディングス,8,50.0,24629,-2.82,3078
3148,クリエイトＳＤホールディングス,5,80.0,24594,-0.06,4918
6517,デンヨー,14,57.1,24557,-2.3,1754
4023,クレハ,8,62.5,24549,-1.29,3068
7955,クリナップ,12,66.7,24414,-0.41,2034
1888,若築建設,12,58.3,24314,-2.76,2026
5832,ちゅうぎんフィナンシャルグループ,14,50.0,24252,-3.3,1732
6914,オプテックスグループ,8,62.5,24000,-1.78,3000
3106,倉敷紡績,16,56.2,23976,-3.67,1498
6440,ＪＵＫＩ,13,69.2,23929,-0.55,1840
1721,コムシスホールディングス,11,63.6,23897,-1.04,2172
2281,プリマハム,11,72.7,23604,-0.67,2145
8802,三菱地所,8,62.5,23594,-1.61,2949
7649,スギホールディングス,9,55.6,23570,-0.92,2618
9989,サンドラッグ,7,71.4,23539,-1.07,3362
6332,月島ホールディングス,9,66.7,23482,-1.35,2609
3391,ツルハホールディングス,10,50.0,23392,-1.3,2339
9247,ＴＲＥホールディングス,14,57.1,23373,-1.94,1669
9948,アークス,13,69.2,23299,-1.25,1792
3433,トーカロ,13,61.5,23066,-2.25,1774
7550,ゼンショーホールディングス（優先株式）,5,80.0,22996,-0.89,4599
2296,伊藤ハム米久ホールディングス,7,57.1,22912,-0.55,3273
5261,リソルホールディングス,10,60.0,22824,-0.78,2282
8012,長瀬産業,11,72.7,22351,-0.36,2031
7167,めぶきフィナンシャルグループ,19,52.6,22283,-0.79,1172
5463,丸一鋼管,9,77.8,22273,-0.46,2474
7128,ユニソルホールディングス,6,66.7,22221,-0.66,3703
4095,日本パーカライジング,13,69.2,22115,-0.68,1701
8358,スルガ銀行,17,52.9,22082,-1.48,1298
8237,松屋,10,50.0,22064,-1.8,2206
7729,東京精密,11,54.5,22023,-4.56,2002
7447,ナガイレーベン,5,60.0,22020,-0.81,4404
5975,東プレ,10,70.0,21950,-0.84,2195
7189,西日本フィナンシャルホールディングス,17,47.1,21914,-2.87,1289
3863,日本製紙,8,62.5,21881,-1.16,2735
9069,センコーグループホールディングス,13,46.2,21861,-1.23,1681
6745,ホーチキ,17,47.1,21847,-2.03,1285
6361,荏原製作所,9,55.6,21582,-2.24,2398
7606,ユナイテッドアローズ,9,55.6,21307,-1.03,2367
9936,王将フードサービス,14,50.0,21253,-0.98,1518
5351,品川リフラ,12,58.3,21204,-1.67,1767
8591,オリックス,7,71.4,21040,-1.19,3005
2681,ゲオホールディングス,10,60.0,20993,-1.24,2099
5976,高周波熱錬,7,85.7,20912,-0.29,2987
4528,小野薬品工業,6,66.7,20811,-0.79,3468
6951,日本電子,5,60.0,20797,-1.04,4159
7780,メニコン,5,80.0,20793,-0.82,4158
2264,森永乳業,12,58.3,20757,-2.3,1729
4633,サカタインクス,10,60.0,20685,-0.96,2068
9025,鴻池運輸,14,57.1,20675,-1.21,1476
3401,帝人,5,80.0,20657,-0.46,4131
7383,ネットプロテクションズホールディングス,11,63.6,20425,-0.56,1856
4384,ラクスル,9,55.6,20387,-1.46,2265
212A,フィットイージー,5,60.0,20212,-3.6,4042
1959,クラフティア,7,57.1,20102,-1.64,2871
8053,住友商事,9,88.9,20014,-0.82,2223
7609,ダイトロン,10,60.0,20013,-1.69,2001
6326,クボタ,8,50.0,19995,-1.23,2499
9702,アイ・エス・ビー,9,66.7,19959,-0.97,2217
4118,カネカ,10,70.0,19954,-0.89,1995
1946,トーエネック,13,53.8,19940,-2.07,1533
7537,丸文,6,83.3,19918,-0.64,3319
5938,ＬＩＸＩＬ,5,80.0,19885,-0.48,3977
3708,特種東海製紙,12,66.7,19835,-0.62,1652
3864,三菱製紙,10,60.0,19817,-0.52,1981
6381,アネスト岩田,9,55.6,19753,-1.6,2194
2378,ルネサンス,10,70.0,19695,-0.28,1969
3139,ラクト・ジャパン,5,60.0,19682,-1.2,3936
6005,三浦工業,7,57.1,19593,-1.43,2799
9020,東日本旅客鉄道,13,53.8,19495,-1.38,1499
1720,東急建設,8,62.5,19470,-0.97,2433
